"title","authors","paper","code","huggingface","colab","youtube","topic","poster","compressed_poster","session","highlight"
"VidEoMT: Your ViT is Secretly Also a Video Segmentation Model","Narges Norouzi, Idil Esen Zulfikar, Niccolò Cavagnero, Tommie Kerssies, Bastian Leibe, Gijs Dubbelman, Daan de Geus",https://arxiv.org/abs/2602.17807,https://github.com/tue-mps/videomt,,,https://www.youtube.com/watch?v=TlPiGQJSEjI,"Segmentation",,,"Sun 7 Jun 10:15-11:30 Poster Session 5 #611",
"MatAnyone 2: Scaling Video Matting via a Learned Quality Evaluator","Peiqing Yang, Shangchen Zhou, Kai Hao, Qingyi Tao",https://arxiv.org/abs/2512.11782,https://github.com/pq-yang/MatAnyone2,https://huggingface.co/spaces/PeiqingYang/MatAnyone,,https://www.youtube.com/watch?v=tyi8CNyjOhc,"Segmentation",,,"Sun 7 Jun 15:30-17:30 Poster Session 6",
"INSID3: Training-Free In-Context Segmentation with DINOv3","Claudia Cuttano, Gabriele Trivigno, Christoph Reich, Daniel Cremers, Carlo Masone, Stefan Roth",https://arxiv.org/abs/2603.28480,https://github.com/visinf/INSID3,,,,"Segmentation",,,"Sat 6 Jun 14:00-15:15 Oral Session 4D: Visual Segmentation #1",Oral
"Real-World Point Tracking with Verifier-Guided Pseudo-Labeling","Görkay Aydemir, Fatma Güney, Weidi Xie",https://arxiv.org/abs/2603.12217,https://github.com/gorkaydemir/track_on,,,https://www.youtube.com/watch?v=Ip9hSov6qVQ,"Object Tracking",https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/36388.png?t=1778878578.5070403,https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/36388.png,"Fri 5 Jun 16:00-18:00 Poster Session 2 #593",Highlight
"FMPose3D: monocular 3D pose estimation via flow matching","Ti Wang, Xiaohang Yu, Mackenzie Weygandt Mathis",https://arxiv.org/abs/2602.05755,,,,,"Pose Estimation",,,"Sat 6 Jun 11:45-13:45 Poster Session 3 #40",
"EgoX: Egocentric Video Generation from a Single Exocentric Video","Taewoong Kang, Kinam Kim, Keunwoo Park, Seonghyeon Park, Youngjoon Yu, Seunghoon Hong",https://arxiv.org/abs/2512.08269,https://github.com/DAVIAN-Robotics/EgoX,,,,"Generative Models",,,"Fri 5 Jun 16:00-18:00 Poster Session 2 #366",
"B³-Seg: Camera-Free, Training-Free 3DGS Segmentation via Analytic EIG and Beta-Bernoulli Bayesian Updates","Hiromichi Kamata, Samuel Arthur Munro, Fuminori Homma",https://arxiv.org/abs/2602.17134,,,,,"3D Vision",https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38552.png?t=1779278305.871803,https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/38552.png,"Sat 6 Jun 16:45-18:45 Poster Session 4 #507",Highlight
"Efficiently Reconstructing Dynamic Scenes One D4RT at a Time","Chuhan Zhang, Guillaume Le Moing, Skanda Koppula, Ignacio Rocco, Liliane Momeni, Junyu Xie, Shuyang Sun, Rahul Sukthankar, Joëlle K. Barral, Raia Hadsell, Zoubin Ghahramani, Andrew Zisserman, Junlin Zhang, Mehdi S. M. Sajjadi",https://arxiv.org/abs/2512.08924,,,,https://www.youtube.com/watch?v=4u5JxhyZ86g,"3D Vision",https://cvpr.thecvf.com/media/PosterPDFs/CVPR%202026/38780.png?t=1779273919.6110525,https://storage.googleapis.com/com-roboflow-marketing/cvpr-2026-posters/38780.png,"Fri 5 Jun 13:00-14:15 Oral Session 2D #2 | Fri 5 Jun 16:00-18:00 Poster Session 2 #20",Highlight
"4D-RGPT: Toward Region-level 4D Understanding via Perceptual Distillation","Chiao-An Yang, Ryo Hachiuma, Sifei Liu, Subhashree Radhakrishnan, Raymond A. Yeh, Yu-Chiang Frank Wang, Min-Hung Chen",https://arxiv.org/abs/2512.17012,https://github.com/NVlabs/4D-RGPT,https://huggingface.co/datasets/nvidia/R4D-Bench,,,"3D Vision",,,"Sun 7 Jun 11:45-13:45 Poster Session 5 #225",Highlight
"TIPSv2: Advancing Vision-Language Pretraining with Enhanced Patch-Text Alignment","Bingyi Cao, Koert Chen, Kevis-Kokitsi Maninis, Kaifeng Chen, Arjun Karpur, Ye Xia, Sahil Dua, Tanmaya Dabral, Guangxing Han, Bohyung Han, Joshua Ainslie, Alex Bewley, Mithun Jacob, Rene Wagner, Washington Ramos, Krzysztof Choromanski, Mojtaba Seyedhosseini, Howard Zhou, Andre Araujo",https://arxiv.org/abs/2604.12012,https://github.com/google-deepmind/tips,https://huggingface.co/spaces/google/TIPSv2,,,"Vision-Language Models",,,"Sun 7 Jun 11:45-13:45 Poster Session 5 #65",
